userName,content,score,at,replyContent,reviewId,sentiment
Al Khafi,ok sangat suka dan puas,5,2025-11-17 18:13:43,,6ad11839-3750-4691-a069-5c8a35dd96e2,positif
Meina Wati,luar biasa,5,2025-11-17 18:11:37,,0ae8fb16-23ac-45b4-aa2d-34647430c04f,positif
Abd Rhmn (ABDUL),"banyak membantu saya seperti memperhatikan dan membaca simtom kesehatan, menu penunjang kesehatan, membantu saya menekuni hobby scooter klasik dll.. bahkan upaya saya berbinis sewa truck; chatgpt membuatkan pasal2 perjanjian dalam kontrak dll juga memberikan persepektif perkembangan sciences",5,2025-11-17 18:09:50,,7a4874ca-5ebf-4f6e-a8ae-631bba23900e,positif
Hendry Andriansyah,"Sempurna Banget,Apapun yg Ditanyakan Pasti Sesuai Dan Punya Nilai Plus,Puas Banget Pokonya,Makin Cinta Sama Apkikasinya,,,😘",5,2025-11-17 17:56:16,,cbd774cf-aa26-4fc5-bd79-360d423986ab,positif
teddy pranadi,sangat membantu sekali,5,2025-11-17 17:51:08,,5780eb1b-33e8-45ac-84b1-5a2499accbeb,positif
Hamz Tzyy,minusnya cuma lama banget pembuatannya,5,2025-11-17 17:42:12,,d4f369ea-f7dd-487f-a606-59d5fa516aae,positif
Kadir mustafa Mustafa,"aplikasi sesat, jelek jelek jelek pokoknya jelek, aplikasi menyesatkan, nilai jadi anjlok karena contohin jawaban dari aplikasi ini, ga suka banget jelek, gak membantu sama sekali.",1,2025-11-17 17:41:27,,5616ed84-ce38-4a90-b2bd-8fe29fa7935b,negatif
Herman Susilo,membantu,5,2025-11-17 17:39:58,,ac6f38d0-efc3-477d-9e72-943434b0cd2d,positif
John Doe,"sial. baru saja saya update aplikasi, sekarang malah tidak bisa digunakan. padahal saya berlangganan 20 dollar. akan saya review ulang jika sudah diperbaiki.",1,2025-11-17 17:34:15,,7c68feed-eb3b-4cd0-8641-de45ae8d475e,negatif
Kormialis Al-Fikri,Good,5,2025-11-17 17:26:48,,c7d84ca8-7dc4-46ab-bf8f-8331747813c0,positif
Hendry Lee,aplikasi terbaik yang saya gunakan — namun developer harus mengurangi penggaupdatetam setiap saat agar kami tidak lelah update terus menurus,5,2025-11-17 17:26:38,,ddda4234-7987-44af-9690-720b53f1f1d1,positif
Ebit Enal,Tidak rugi download aplikasinya keren parah mudah di gunakan dan sangat membantu kebutuhan saya,5,2025-11-17 17:07:33,,2b464261-3655-48b0-a999-68980ff05cd0,positif
nadine rama,i love chatgpt❤️❤️💘💘💘💘,5,2025-11-17 17:02:16,,6994d32f-f858-4c78-aba0-17b93c3f1c17,positif
Kadek budiantari Budiantari,bagus 👉👍,4,2025-11-17 17:01:09,,79c83e2c-fb2b-4355-9c13-75bce324f564,positif
Arfi zanuar,"sangat membantu dalam segala hal, jadi tempat curhat, tempat mencari pengetahuan dan lain sebagainya, a prove buatt ai satuu ini",5,2025-11-17 16:57:29,,0b370304-60e0-4707-aa9c-e773680886d8,positif
Anis Edelweis,saya merasa chat gpt ini sangat baik dalam membuat gambar (walaupun masih banya terdapat kesalahan dan tidak sesuai keinginan) tapi saya sangat suka aplikasi ini itu saja,5,2025-11-17 16:50:42,,7d53949c-3488-4d81-92df-b4f8e21fe96e,positif
Gracia Queen Sinaga,gak enak berulang ulang,1,2025-11-17 16:49:38,,84bfb48a-b604-454b-a40d-d8a343572811,negatif
Didit Pramono,bagus ....,4,2025-11-17 16:46:22,,a0d43873-90c4-4dec-bd85-7ab8e3b9b002,positif
A2nw 1987,bagus,5,2025-11-17 16:44:08,,b79555e3-d56b-4143-8599-5776a6e599b1,positif
Gian Manoppo,bagu banget itu saja,5,2025-11-17 16:42:13,,69a45874-3e4e-4caa-9337-f91f13c988c5,positif
10 Putu Anggraeni Widyawati,"Setelah diupdate jadi aneh. Cara menjawabnya skrng jadi kaku bgt, padahal sebelumnya bagus dan natural. Memorinya hancur banget.",2,2025-11-17 16:36:53,,bc5925c0-d45c-4589-8ced-932876aa924d,negatif
Yohanes Yosua Ngai Lomi,sangatt baik,5,2025-11-17 16:24:00,,49808117-5856-4e85-996c-d6975053322e,positif
Muhamad Kalyubi,ok,5,2025-11-17 16:17:55,,770c492c-2fae-4980-a88c-c01b88a6f677,positif
Jusran Tusanto,sangat membantu,5,2025-11-17 16:17:41,,e75fee5a-4ae6-4b84-8fb1-449b30374f92,positif
Agus Pratama,Mantap dan bermanfaat untuk pembelajaran,5,2025-11-17 16:14:20,,8e306c1f-d0ce-40c5-9ac9-9ba2eb4c2d1a,positif
muhammad husnadi,"mantap, sangat membantu",5,2025-11-17 16:10:36,,28e7dc8f-bac5-4712-9465-76edfd9503a9,positif
Miliarder 001,bagus,5,2025-11-17 16:06:46,,c238931c-202d-4685-b041-3755e3f77a1f,positif
Keymora Nggebu,"BAGUS BANGET BISA MEMBANTU MENGERJAKAN TUGAS, MEMBUAT MAKALAH, MENGERJAKAN SKRIPSI DLL TUGAS SEKOLAH AUTO 100",4,2025-11-17 16:06:44,,3d3e9cb3-1b04-4fcf-b9e8-0446fd14d7d4,positif
MARDIA,sangat baik,5,2025-11-17 15:59:07,,8c48fff9-9346-40f4-91ae-8e302602aeb7,positif
Sarah Amelia,ok,5,2025-11-17 15:54:12,,0f762726-f08f-462a-b714-a0b33c3ca855,positif
Ling,PERFECT AI 👍🏼👍🏼,5,2025-11-17 15:49:18,,e94dec85-d9f4-48a1-bf71-2b47448d6ff8,positif
Firda Yuan,bagusss,5,2025-11-17 15:49:10,,3ab5ab20-6f6f-4475-8973-736738b7c0b8,positif
Sakti BoBoiBoy,bagus bisa bikin gambar JD dan 4K tapi loading nya kayak nya harus di lebih lancar gitu,4,2025-11-17 15:47:11,,66d4fdde-2871-48c7-b730-758041b982cb,positif
Agz Don,luar biasa,5,2025-11-17 15:38:19,,0f35e9b2-b6c7-4740-a61c-52949188e1ff,positif
Maria Renata,sangat bagus,5,2025-11-17 15:38:19,,76a53112-eb74-4bf7-b4a1-e62fa61476f3,positif
Dwitya Iqbal Hidayat,Sangat membantu,5,2025-11-17 15:37:39,,d9716270-9a07-4457-b4be-3fde38ce9ef6,positif
wendi sebastian,ok,5,2025-11-17 15:30:42,,4ca20273-795c-414a-be75-7aad9548be58,positif
Yenniey Azis,💗💗💗,5,2025-11-17 15:29:45,,ddffed66-5b2a-4a6b-ab0e-5ccb7f64c2f8,positif
Nuno Al Farzana,gpt 4.1 is better :),2,2025-11-17 15:13:14,,62a0d3e5-59f6-43a5-ada2-04a09a68accb,negatif
Daffa Khumaidi,plis jangan kasih limit baru juga ngobrol sama chatgpt eh langsung ke obrolan baru,5,2025-11-17 15:10:12,,b115ff6f-7b5b-42fc-8f82-ed782333af64,positif
taho celok,Lope yu u chatGPT 💅🏻,5,2025-11-17 15:09:41,,99dbd9b1-d508-46e2-9db3-92fcfbd95894,positif
Zilanazzila 862,"apakah aplikasi ini sedang ada masalah? mengapa pada saat hendak login akun tidak bisa masuk padahal sebelumnya akun sudah pernah ada di dalam aplikasi. mengapa selalu tertulis kata ""playintegrity verification failed"" pada saat hendak login padahal jaringan baik-baik aja dan ga ada masalah",1,2025-11-17 15:07:37,,28016c58-5e83-4efc-96c7-3aae149dd620,negatif
fatah wandono,"bagus bgt,sangat membantu",1,2025-11-17 14:57:27,,b0acaa81-71ce-401e-87da-6f6e47b21442,negatif
Muhammad Imdadul khoir,"gabisa login,padahal mau kerjain tugas,masa hp ibuku bisa masuk cgpt,tpi aku nggak,ga adil banget🤬",1,2025-11-17 14:54:07,,94f9f7a0-55d0-48d2-b4be-f4d0c5ef96d8,negatif
khairul arul,"makin sini makin ngaco, gajelas jawabannya muter"" udh di jelasin masih aja pake jawaban yg salah dan ga sesuai",1,2025-11-17 14:52:43,,e0d7318f-b308-46a0-9e08-1416b2b2cc6a,negatif
Ummu Haidar,keren,5,2025-11-17 14:48:18,,8589e34c-5e76-4045-81ce-c1d2d90f0638,positif
eta sari,sangat membantu,5,2025-11-17 14:45:42,,8e33af8e-4539-474d-84d7-840134969d5c,positif
Numan Faisol Hakim,Good sangat membantu,5,2025-11-17 14:40:19,,a259d73c-04f2-4e6b-a968-c2e5e23a51fc,positif
Juniar Pita S,nothing. but is good,4,2025-11-17 14:39:01,,f09ed525-1994-4702-ab96-61e281cf91b8,positif
Joystore,Bagus banget bisa di ajak chat bareng,5,2025-11-17 14:32:41,,d5d06bd8-26b2-4e71-a050-455bab8209af,positif
Chendy Pratama,oke,4,2025-11-17 14:25:59,,854e1625-a8e5-4683-ba93-c47098acc3a2,positif
WARDIYONO chanel,keren memudahkan semua,5,2025-11-17 14:25:55,,1cba4714-176f-45c4-826c-d497dd87d962,positif
Naya Angraini,baguss,5,2025-11-17 14:24:44,,9c003796-d181-4645-98ac-3d2170b0b708,positif
Siti Hajar,kenapa harus d upgrade mulu sih udah gitu harus d uninstal dlu baru bisa d upgrade,1,2025-11-17 14:18:34,,2cd712ce-9df2-4c6a-ba79-c2b830808efa,negatif
Murniyusup2314,wow,5,2025-11-17 14:17:55,,8b56d9e4-762c-4f09-b0ee-f884d2b7fef5,positif
Bisma Negara,baik,5,2025-11-17 14:14:26,,39f95313-e610-412e-849e-59a98fd1c1eb,positif
Fdy,LUAR BIASA DAN SANGAT TERBANTU,5,2025-11-17 14:07:25,,696ca633-a2a2-437e-a8b3-ad39b1620e62,positif
Melvin Favian,bagus nemenin aku ketika kesepian tapi mohon ai nya diperbagus,5,2025-11-17 14:04:16,,0371be0a-ebbb-4f58-a5d6-943f9e73b78d,positif
LASKAR.REVOLUTION06,salah semua jawaban nya,1,2025-11-17 14:00:57,,e5315e51-3096-4d2f-b0c8-83d820b8c2d6,negatif
Ipong Mamahit,ini aplikasi sangat bagus,5,2025-11-17 13:55:07,,93b96b8d-e56d-4473-a3cb-61361cc990a5,positif
Mbak Nangim,luar biasa,5,2025-11-17 13:30:39,,818e3d1c-db03-4070-ba4d-45272b1a9293,positif
X Family,keter canggih,5,2025-11-17 13:29:28,,2eae143a-8133-43c4-b1b7-520e30bda308,positif
Cahya Ratatami,Sangat membantu,5,2025-11-17 13:25:26,,96887485-ec6b-4550-a094-4b6d9c2cc9e1,positif
Suaibatul Islamiah,sayang benget sama chat gpt,5,2025-11-17 13:24:43,,5fc1d74c-e178-45a5-9d2a-84f78337b940,positif
Fadli Ntiu,bagus banget ai nya,5,2025-11-17 13:23:22,,d5d90b6e-32e2-499f-be8a-4c9f69de8e28,positif
Pengguna Google,oke,5,2025-11-17 13:20:48,,e6300321-c0ca-4b50-90e8-ca26ac213a36,positif
Omo Aja,mantap,5,2025-11-17 13:01:45,,10ef73c1-c17f-4544-928c-268e724184f2,positif
Anindita Shabira,"awal awal sangat bermanfaat sih dalam membantu tugas sehari hari, tapi gaktau kenapa sekarang jadi oon banget harus diingetin satu-satu ga sepinter dulu, pls kadang bikin emosiii",3,2025-11-17 12:59:41,,c303301a-566b-462e-bf28-571120551d1b,netral
